Day, Date, PdfDownloads, StoryDownloads, PledgeForms, UniqueVisitors
Sun, 20/Feb/2005, 0, 0, 0, 0
Mon, 21/Feb/2005, 0, 0, 0, 0
Tue, 22/Feb/2005, 0, 0, 0, 0
Wed, 23/Feb/2005, 0, 0, 0, 0
Thu, 24/Feb/2005, 0, 0, 0, 0
Fri, 25/Feb/2005, 0, 0, 0, 0
Sat, 26/Feb/2005, 0, 0, 0, 0
Sun, 27/Feb/2005, 0, 0, 0, 0
Mon, 28/Feb/2005, 0, 0, 0, 0
Tue, 01/Mar/2005, 0, 11, 0, 1
Wed, 02/Mar/2005, 0, 1, 0, 6
Thu, 03/Mar/2005, 0, 0, 0, 7
Fri, 04/Mar/2005, 3, 0, 0, 9
Sat, 05/Mar/2005, 2, 0, 0, 10
Sun, 06/Mar/2005, 0, 1, 0, 15
Mon, 07/Mar/2005, 0, 1, 0, 5
Tue, 08/Mar/2005, 0, 20, 0, 10
Wed, 09/Mar/2005, 0, 0, 0, 6
Thu, 10/Mar/2005, 0, 9, 0, 4
Fri, 11/Mar/2005, 0, 21, 0, 12
Sat, 12/Mar/2005, 3, 41, 0, 53
Sun, 13/Mar/2005, 10, 26, 3, 25
Mon, 14/Mar/2005, 18, 35, 9, 34
Tue, 15/Mar/2005, 8, 23, 8, 7
Wed, 16/Mar/2005, 3, 71, 3, 57
Thu, 17/Mar/2005, 38, 47, 25, 55
Fri, 18/Mar/2005, 1, 14, 0, 19
Sat, 19/Mar/2005, 1, 14, 0, 10
Sun, 20/Mar/2005, 14, 11, 4, 18
